date,PM2.5 - Exposição média (μg/m³),PM2.5 - População exposta (%),Emissões GHG per capita (t CO2e),Intensidade carbono PIB (kg CO2e/PPP$),PIB (US$),População total,PIB per capita (US$)
1990,22.5262021505598,99.7557906789743,15.5586852919835,0.300972786550749,1778162195860.07,79433029.0,22385.6778250275
1991,22.2070956761029,,15.129711969031,0.280410653582006,1875792575132.59,80013896.0,23443.3350818536
1992,21.8587033137361,,14.2288610232823,0.259930091890431,2141377582968.07,80624598.0,26559.8543879632
1993,21.4830248416712,,13.9701147031441,0.260119316440628,2078954217437.6,81156363.0,25616.6508772405
1994,21.0820600381202,,13.7515866603777,0.249703783398617,2215282632276.73,81438348.0,27201.9593555204
1995,20.6578086812947,99.6466063589806,13.6128125780083,0.244715241405055,2593053091306.13,81678051.0,31747.2449398447
1996,20.1669296254538,,13.9067270980514,0.249879167861734,2506576553158.31,81914831.0,30599.7891048363
1997,19.6071159764274,,13.4195766816976,0.237007157815294,2218790886532.82,82034771.0,27046.9565464237
1998,19.0419188897839,,13.1736155026384,0.231918584615459,2247760364565.97,82047195.0,27395.9440608051
1999,18.5348895210917,,12.6612353632132,0.218086065639606,2213873468586.88,82100243.0,26965.4922773722
2000,18.149579025919,99.4071861879019,12.5940798945082,0.212159995669051,1966980701145.1,82211508.0,23925.8559901991
2001,17.8080564787948,,12.6774990991188,0.212116004395508,1966381496641.73,82349925.0,23878.3641471651
2002,17.4251209663774,,12.4194204294793,0.208879699534675,2102350798305.89,82488495.0,25486.5942008748
2003,17.0534186624295,,12.4427449302941,0.211914267701232,2534715518349.01,82534176.0,30711.1022511331
2004,16.7455957407135,,12.2431142662064,0.20600861656209,2852317768061.78,82516260.0,34566.7359143735
2005,16.5542983749923,99.1848609756882,11.9280343689083,0.199087389837491,2893393187361.87,82469422.0,35084.4363546269
2006,16.4673340240739,,12.0224807936919,0.194827565566696,3046308753670.58,82376451.0,36980.3349948954
2007,16.4178840311706,,11.698720590231,0.182969188466084,3484056680854.91,82266372.0,42350.9217211489
2008,16.3766553966518,,11.7105524793132,0.182055688858215,3808786022312.5,82110097.0,46386.3295924799
2009,16.3143551208868,,10.9434841682787,0.178398040447418,3479800820863.28,81902307.0,42487.2137101496
2010,16.201690204245,99.599440069301,11.5255781795673,0.181731247750383,3468154343000.01,81776930.0,42409.9356994694
2011,15.7161711583543,99.4480294451265,11.3823904515807,0.169385766544066,3824828563521.41,80274983.0,47646.582043143
2012,13.9078592571706,98.2950679634862,11.4978866924371,0.171133972498737,3597896500945.31,80425823.0,44735.5882319701
2013,13.6633968189434,97.8463215365016,11.6796804983979,0.174269328963157,3808086291482.36,80645605.0,47220.0102098851
2014,12.2822480920893,95.7252958815951,11.1447572006298,0.162427824272552,3965800686309.79,80982500.0,48971.0824722599
2015,12.8253525089793,95.9525959398708,11.1097778312776,0.161050999445951,3423568450957.03,81686611.0,41911.0109851054
2016,11.7806958987308,89.1546627249363,11.0507954900886,0.158305554839863,3537784107980.55,82348669.0,42961.0356905775
2017,11.8978451129639,89.1743564300489,10.8144546544284,0.151237990569879,3763092263752.95,82657002.0,45526.5999576533
